model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration
SVC,0,0,0,0,0,0,0,0,0,0,1.1,0,poly,0.994,0.994,0.975,0.975,0.002

SVC,0,0,0,0,0,0,0,0,0,0,1.1,0,sigmoid,0.694,0.609,0.675,0.625,0.00221

SVC,0,0,0,0,0,0,0,0,0,0,1.1,0,linear,0.969,0.968,0.9,0.893,0.00352

SVC,0,0,0,0,0,0,0,0,0,0,1.2,0,rbf,0.981,0.981,0.975,0.974,0.00256

SVC,0,0,0,0,0,0,0,0,0,0,1.2,0,poly,0.994,0.994,1.0,1.0,0.002

SVC,0,0,0,0,0,0,0,0,0,0,1.2,0,sigmoid,0.712,0.608,0.825,0.746,0.00444

SVC,0,0,0,0,0,0,0,0,0,0,1.2,0,linear,0.95,0.948,0.975,0.975,0.00127

SVC,0,0,0,0,0,0,0,0,0,0,1.3,0,rbf,0.969,0.968,1.0,1.0,0.001

SVC,0,0,0,0,0,0,0,0,0,0,1.3,0,poly,1.0,1.0,0.975,0.975,0.00251

SVC,0,0,0,0,0,0,0,0,0,0,1.3,0,sigmoid,0.725,0.646,0.6,0.506,0.003

SVC,0,0,0,0,0,0,0,0,0,0,1.3,0,linear,0.95,0.948,0.95,0.948,0.001

SVC,0,0,0,0,0,0,0,0,0,0,1.4,0,rbf,0.969,0.968,1.0,1.0,0.002

SVC,0,0,0,0,0,0,0,0,0,0,1.4,0,poly,0.994,0.994,1.0,1.0,0.00203

SVC,0,0,0,0,0,0,0,0,0,0,1.4,0,sigmoid,0.662,0.593,0.625,0.596,0.002

SVC,0,0,0,0,0,0,0,0,0,0,1.4,0,linear,0.956,0.955,0.95,0.948,0.00196

SVC,0,0,0,0,0,0,0,0,0,0,1.5,0,rbf,0.975,0.974,0.95,0.949,0.00256

SVC,0,0,0,0,0,0,0,0,0,0,1.5,0,poly,1.0,1.0,1.0,1.0,0.00204

SVC,0,0,0,0,0,0,0,0,0,0,1.5,0,sigmoid,0.65,0.596,0.625,0.558,0.00301

SVC,0,0,0,0,0,0,0,0,0,0,1.5,0,linear,0.95,0.948,0.975,0.974,0.002

SVC,0,0,0,0,0,0,0,0,0,0,1.6,0,rbf,0.969,0.968,1.0,1.0,0.00199

SVC,0,0,0,0,0,0,0,0,0,0,1.6,0,poly,0.988,0.987,0.95,0.949,0.0026

SVC,0,0,0,0,0,0,0,0,0,0,1.6,0,sigmoid,0.638,0.589,0.625,0.558,0.002

SVC,0,0,0,0,0,0,0,0,0,0,1.6,0,linear,0.956,0.955,1.0,1.0,0.001

SVC,0,0,0,0,0,0,0,0,0,0,1.7,0,rbf,0.975,0.975,0.975,0.975,0.001

SVC,0,0,0,0,0,0,0,0,0,0,1.7,0,poly,1.0,1.0,0.925,0.931,0.00101

SVC,0,0,0,0,0,0,0,0,0,0,1.7,0,sigmoid,0.606,0.561,0.675,0.625,0.002

SVC,0,0,0,0,0,0,0,0,0,0,1.7,0,linear,0.969,0.968,0.95,0.947,0.002

SVC,0,0,0,0,0,0,0,0,0,0,1.8,0,rbf,0.981,0.981,0.975,0.974,0.001

SVC,0,0,0,0,0,0,0,0,0,0,1.8,0,poly,1.0,1.0,1.0,1.0,0.001

SVC,0,0,0,0,0,0,0,0,0,0,1.8,0,sigmoid,0.631,0.585,0.525,0.499,0.00265

SVC,0,0,0,0,0,0,0,0,0,0,1.8,0,linear,0.944,0.941,0.975,0.974,0.001

SVC,0,0,0,0,0,0,0,0,0,0,1.9,0,rbf,0.981,0.981,0.925,0.921,0.001

SVC,0,0,0,0,0,0,0,0,0,0,1.9,0,poly,0.988,0.987,1.0,1.0,0.00104

SVC,0,0,0,0,0,0,0,0,0,0,1.9,0,sigmoid,0.619,0.573,0.675,0.604,0.001

SVC,0,0,0,0,0,0,0,0,0,0,1.9,0,linear,0.962,0.961,0.85,0.847,0.002

Decision Tree,gini,1,1,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.05267

Decision Tree,gini,1,1,auto,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.002

Decision Tree,gini,1,1,sqrt,0,0,0,0,0,0,0,0,0,0.738,0.626,0.8,0.711,0.00151

Decision Tree,gini,1,1,log2,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.002

Decision Tree,gini,1,2,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.001

Decision Tree,gini,1,2,auto,0,0,0,0,0,0,0,0,0,0.744,0.634,0.775,0.677,0.001

Decision Tree,gini,1,2,sqrt,0,0,0,0,0,0,0,0,0,1.0,1.0,0.975,0.975,0.001

Decision Tree,gini,1,2,log2,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00164

Decision Tree,gini,1,3,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00251

Decision Tree,gini,1,3,auto,0,0,0,0,0,0,0,0,0,0.756,0.651,0.725,0.609,0.002

Decision Tree,gini,1,3,sqrt,0,0,0,0,0,0,0,0,0,0.738,0.626,0.8,0.711,0.002

Decision Tree,gini,1,3,log2,0,0,0,0,0,0,0,0,0,0.762,0.66,0.7,0.576,0.00203

Decision Tree,gini,1,4,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00251

Decision Tree,gini,1,4,auto,0,0,0,0,0,0,0,0,0,0.775,0.677,0.65,0.512,0.002

Decision Tree,gini,1,4,sqrt,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.001

Decision Tree,gini,1,4,log2,0,0,0,0,0,0,0,0,0,0.738,0.626,0.8,0.711,0.001

Decision Tree,gini,1,5,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00157

Decision Tree,gini,1,5,auto,0,0,0,0,0,0,0,0,0,0.725,0.609,0.85,0.781,0.00251

Decision Tree,gini,1,5,sqrt,0,0,0,0,0,0,0,0,0,1.0,1.0,0.975,0.975,0.001

Decision Tree,gini,1,5,log2,0,0,0,0,0,0,0,0,0,0.738,0.626,0.8,0.711,0.002

Decision Tree,gini,1,6,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00296

Decision Tree,gini,1,6,auto,0,0,0,0,0,0,0,0,0,0.762,0.66,0.7,0.576,0.002

Decision Tree,gini,1,6,sqrt,0,0,0,0,0,0,0,0,0,0.762,0.66,0.7,0.576,0.001

Decision Tree,gini,1,6,log2,0,0,0,0,0,0,0,0,0,0.712,0.593,0.9,0.853,0.001

Decision Tree,gini,1,7,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00099

Decision Tree,gini,1,7,auto,0,0,0,0,0,0,0,0,0,0.75,0.643,0.75,0.643,0.00296

Decision Tree,gini,1,7,sqrt,0,0,0,0,0,0,0,0,0,0.762,0.66,0.7,0.576,0.002

Decision Tree,gini,1,7,log2,0,0,0,0,0,0,0,0,0,0.762,0.66,0.7,0.576,0.001

Decision Tree,gini,1,8,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00301

Decision Tree,gini,1,8,auto,0,0,0,0,0,0,0,0,0,0.75,0.643,0.75,0.643,0.00201

Decision Tree,gini,1,8,sqrt,0,0,0,0,0,0,0,0,0,0.744,0.634,0.775,0.677,0.003

Decision Tree,gini,1,8,log2,0,0,0,0,0,0,0,0,0,0.756,0.651,0.725,0.609,0.00442

Decision Tree,gini,1,9,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0036

Decision Tree,gini,1,9,auto,0,0,0,0,0,0,0,0,0,0.738,0.626,0.8,0.711,0.00352

Decision Tree,gini,1,9,sqrt,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00101

Decision Tree,gini,1,9,log2,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00151

Decision Tree,gini,1,10,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00205

Decision Tree,gini,1,10,auto,0,0,0,0,0,0,0,0,0,0.756,0.651,0.725,0.609,0.00251

Decision Tree,gini,1,10,sqrt,0,0,0,0,0,0,0,0,0,0.756,0.651,0.725,0.609,0.001

Decision Tree,gini,1,10,log2,0,0,0,0,0,0,0,0,0,0.756,0.651,0.725,0.609,0.00201

Decision Tree,gini,1,11,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,0.95,0.949,0.00201

Decision Tree,gini,1,11,auto,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00156

Decision Tree,gini,1,11,sqrt,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00261

