model,criterion,max_depth,min_samples_split,max_features,learning_rate,n_estimators,n_neighbors,metric,solver,penalty,C,max_iter,kernel,train_accuracy,train_f1,test_accuracy,test_f1,duration
Decision Tree,gini,1,4,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00496
Decision Tree,gini,1,4,auto,0,0,0,0,0,0,0,0,0,0.864,0.864,0.855,0.855,0.00199
Decision Tree,gini,1,4,sqrt,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00199
Decision Tree,gini,1,4,log2,0,0,0,0,0,0,0,0,0,0.927,0.927,0.942,0.942,0.00296
Decision Tree,gini,1,5,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00499
Decision Tree,gini,1,5,auto,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00299
Decision Tree,gini,1,5,sqrt,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00296
Decision Tree,gini,1,5,log2,0,0,0,0,0,0,0,0,0,0.72,0.697,0.73,0.71,0.00296
Decision Tree,gini,1,6,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00399
Decision Tree,gini,1,6,auto,0,0,0,0,0,0,0,0,0,0.725,0.702,0.713,0.687,0.00299
Decision Tree,gini,1,6,sqrt,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.002
Decision Tree,gini,1,6,log2,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00302
Decision Tree,gini,1,7,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.005
Decision Tree,gini,1,7,auto,0,0,0,0,0,0,0,0,0,0.728,0.711,0.737,0.721,0.00299
Decision Tree,gini,1,7,sqrt,0,0,0,0,0,0,0,0,0,0.929,0.929,0.934,0.934,0.00196
Decision Tree,gini,1,7,log2,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00299
Decision Tree,gini,1,8,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00499
Decision Tree,gini,1,8,auto,0,0,0,0,0,0,0,0,0,0.862,0.862,0.861,0.861,0.00203
Decision Tree,gini,1,8,sqrt,0,0,0,0,0,0,0,0,0,0.721,0.698,0.729,0.706,0.00299
Decision Tree,gini,1,8,log2,0,0,0,0,0,0,0,0,0,0.986,0.986,0.985,0.985,0.00303
Decision Tree,gini,1,9,nan,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.00601
